date,state,cases_new,checkins,unique_ind,unique_loc,checkins-norm,unique_ind-norm,unique_loc-norm
2020-03-06,Kuala Lumpur,5,,,,,,
2020-03-06,Labuan,0,,,,,,
2020-03-06,Putrajaya,0,,,,,,
2020-03-07,Johor,2,,,,,,
2020-03-07,Kedah,0,,,,,,
2020-03-07,Kelantan,0,,,,,,
2020-03-07,Melaka,0,,,,,,
2020-03-07,Negeri Sembilan,0,,,,,,
2020-03-07,Pahang,0,,,,,,
2020-03-07,Penang,0,,,,,,
2020-03-07,Perak,0,,,,,,
2020-03-07,Perlis,0,,,,,,
2020-03-07,Sabah,0,,,,,,
2020-03-07,Sarawak,0,,,,,,
2020-03-07,Selangor,8,,,,,,
2020-03-07,Terengganu,0,,,,,,
2020-03-07,Kuala Lumpur,0,,,,,,
2020-03-07,Labuan,0,,,,,,
2020-03-07,Putrajaya,0,,,,,,
2020-03-08,Johor,0,,,,,,
2020-03-08,Kedah,0,,,,,,
2020-03-08,Kelantan,0,,,,,,
2020-03-08,Melaka,0,,,,,,
2020-03-08,Negeri Sembilan,0,,,,,,
2020-03-08,Pahang,0,,,,,,
2020-03-08,Penang,0,,,,,,
2020-03-08,Perak,0,,,,,,
2020-03-08,Perlis,0,,,,,,
2020-03-08,Sabah,0,,,,,,
2020-03-08,Sarawak,0,,,,,,
2020-03-08,Selangor,6,,,,,,
2020-03-08,Terengganu,0,,,,,,
2020-03-08,Kuala Lumpur,0,,,,,,
2020-03-08,Labuan,0,,,,,,
2020-03-08,Putrajaya,0,,,,,,
2020-03-09,Johor,0,,,,,,
2020-03-09,Kedah,0,,,,,,
2020-03-09,Kelantan,0,,,,,,
2020-03-09,Melaka,0,,,,,,
2020-03-09,Negeri Sembilan,1,,,,,,
2020-03-09,Pahang,0,,,,,,
2020-03-09,Penang,0,,,,,,
2020-03-09,Perak,0,,,,,,
2020-03-09,Perlis,0,,,,,,
2020-03-09,Sabah,0,,,,,,
2020-03-09,Sarawak,0,,,,,,
2020-03-09,Selangor,11,,,,,,
2020-03-09,Terengganu,0,,,,,,
2020-03-09,Kuala Lumpur,6,,,,,,
2020-03-09,Labuan,0,,,,,,
2020-03-09,Putrajaya,0,,,,,,
2020-03-10,Johor,0,,,,,,
2020-03-10,Kedah,0,,,,,,
2020-03-10,Kelantan,0,,,,,,
2020-03-10,Melaka,0,,,,,,
2020-03-10,Negeri Sembilan,1,,,,,,
2020-03-10,Pahang,0,,,,,,
2020-03-10,Penang,1,,,,,,
2020-03-10,Perak,0,,,,,,
2020-03-10,Perlis,0,,,,,,
2020-03-10,Sabah,0,,,,,,
2020-03-10,Sarawak,0,,,,,,
2020-03-10,Selangor,10,,,,,,
2020-03-10,Terengganu,0,,,,,,
2020-03-10,Kuala Lumpur,0,,,,,,
2020-03-10,Labuan,0,,,,,,
2020-03-10,Putrajaya,0,,,,,,
2020-03-11,Johor,3,,,,,,
2020-03-11,Kedah,0,,,,,,
2020-03-11,Kelantan,0,,,,,,
2020-03-11,Melaka,1,,,,,,
2020-03-11,Negeri Sembilan,2,,,,,,
2020-03-11,Pahang,1,,,,,,
2020-03-11,Penang,0,,,,,,
2020-03-11,Perak,0,,,,,,
2020-03-11,Perlis,0,,,,,,
2020-03-11,Sabah,0,,,,,,
2020-03-11,Sarawak,0,,,,,,
2020-03-11,Selangor,9,,,,,,
2020-03-11,Terengganu,0,,,,,,
2020-03-11,Kuala Lumpur,4,,,,,,
2020-03-11,Labuan,0,,,,,,
2020-03-11,Putrajaya,0,,,,,,
2020-03-12,Johor,1,,,,,,
2020-03-12,Kedah,0,,,,,,
2020-03-12,Kelantan,0,,,,,,
2020-03-12,Melaka,0,,,,,,
2020-03-12,Negeri Sembilan,2,,,,,,
2020-03-12,Pahang,0,,,,,,
2020-03-12,Penang,0,,,,,,
2020-03-12,Perak,0,,,,,,
2020-03-12,Perlis,0,,,,,,
2020-03-12,Sabah,1,,,,,,
2020-03-12,Sarawak,0,,,,,,
2020-03-12,Selangor,3,,,,,,
2020-03-12,Terengganu,0,,,,,,
2020-03-12,Kuala Lumpur,2,,,,,,
2020-03-12,Labuan,0,,,,,,
2020-03-12,Putrajaya,0,,,,,,
2020-03-13,Johor,4,,,,,,
2020-03-13,Kedah,2,,,,,,
2020-03-13,Kelantan,3,,,,,,
2020-03-13,Melaka,0,,,,,,
2020-03-13,Negeri Sembilan,1,,,,,,
2020-03-13,Pahang,1,,,,,,
2020-03-13,Penang,5,,,,,,
2020-03-13,Perak,2,,,,,,
2020-03-13,Perlis,1,,,,,,
2020-03-13,Sabah,14,,,,,,
2020-03-13,Sarawak,0,,,,,,
2020-03-13,Selangor,1,,,,,,
2020-03-13,Terengganu,0,,,,,,
2020-03-13,Kuala Lumpur,3,,,,,,
2020-03-13,Labuan,2,,,,,,
2020-03-13,Putrajaya,0,,,,,,
2020-03-14,Johor,2,,,,,,
2020-03-14,Kedah,0,,,,,,
2020-03-14,Kelantan,0,,,,,,
2020-03-14,Melaka,5,,,,,,
2020-03-14,Negeri Sembilan,8,,,,,,
2020-03-14,Pahang,0,,,,,,
2020-03-14,Penang,0,,,,,,
2020-03-14,Perak,0,,,,,,
2020-03-14,Perlis,1,,,,,,
2020-03-14,Sabah,11,,,,,,
2020-03-14,Sarawak,6,,,,,,
2020-03-14,Selangor,6,,,,,,
2020-03-14,Terengganu,0,,,,,,
2020-03-14,Kuala Lumpur,2,,,,,,
2020-03-14,Labuan,0,,,,,,
2020-03-14,Putrajaya,0,,,,,,
2020-03-15,Johor,23,,,,,,
2020-03-15,Kedah,16,,,,,,
2020-03-15,Kelantan,3,,,,,,
2020-03-15,Melaka,7,,,,,,
2020-03-15,Negeri Sembilan,11,,,,,,
2020-03-15,Pahang,7,,,,,,
2020-03-15,Penang,6,,,,,,
2020-03-15,Perak,10,,,,,,
2020-03-15,Perlis,4,,,,,,
2020-03-15,Sabah,23,,,,,,
2020-03-15,Sarawak,14,,,,,,
2020-03-15,Selangor,18,,,,,,
2020-03-15,Terengganu,0,,,,,,
2020-03-15,Kuala Lumpur,45,,,,,,
2020-03-15,Labuan,2,,,,,,
2020-03-15,Putrajaya,1,,,,,,
2020-03-16,Johor,7,,,,,,
2020-03-16,Kedah,6,,,,,,
2020-03-16,Kelantan,12,,,,,,
2020-03-16,Melaka,1,,,,,,
2020-03-16,Negeri Sembilan,13,,,,,,
2020-03-16,Pahang,10,,,,,,
2020-03-16,Penang,5,,,,,,
2020-03-16,Perak,6,,,,,,
2020-03-16,Perlis,3,,,,,,
2020-03-16,Sabah,8,,,,,,
2020-03-16,Sarawak,0,,,,,,
2020-03-16,Selangor,24,,,,,,
2020-03-16,Terengganu,4,,,,,,
2020-03-16,Kuala Lumpur,23,,,,,,
2020-03-16,Labuan,0,,,,,,
2020-03-16,Putrajaya,3,,,,,,
2020-03-17,Johor,25,,,,,,
2020-03-17,Kedah,2,,,,,,
2020-03-17,Kelantan,6,,,,,,
2020-03-17,Melaka,3,,,,,,
2020-03-17,Negeri Sembilan,3,,,,,,
2020-03-17,Pahang,2,,,,,,
2020-03-17,Penang,10,,,,,,
2020-03-17,Perak,6,,,,,,
2020-03-17,Perlis,0,,,,,,
2020-03-17,Sabah,25,,,,,,
2020-03-17,Sarawak,9,,,,,,
2020-03-17,Selangor,18,,,,,,
2020-03-17,Terengganu,3,,,,,,
2020-03-17,Kuala Lumpur,8,,,,,,
2020-03-17,Labuan,0,,,,,,
2020-03-17,Putrajaya,0,,,,,,
2020-03-18,Johor,13,,,,,,
2020-03-18,Kedah,6,,,,,,
2020-03-18,Kelantan,6,,,,,,
2020-03-18,Melaka,1,,,,,,
2020-03-18,Negeri Sembilan,1,,,,,,
2020-03-18,Pahang,11,,,,,,
2020-03-18,Penang,5,,,,,,
2020-03-18,Perak,7,,,,,,
2020-03-18,Perlis,0,,,,,,
2020-03-18,Sabah,21,,,,,,
2020-03-18,Sarawak,20,,,,,,
2020-03-18,Selangor,15,,,,,,
2020-03-18,Terengganu,3,,,,,,
2020-03-18,Kuala Lumpur,6,,,,,,
2020-03-18,Labuan,1,,,,,,
2020-03-18,Putrajaya,1,,,,,,
2020-03-19,Johor,13,,,,,,
2020-03-19,Kedah,4,,,,,,
2020-03-19,Kelantan,13,,,,,,
2020-03-19,Melaka,2,,,,,,
2020-03-19,Negeri Sembilan,11,,,,,,
2020-03-19,Pahang,0,,,,,,
2020-03-19,Penang,0,,,,,,
2020-03-19,Perak,5,,,,,,
2020-03-19,Perlis,1,,,,,,
2020-03-19,Sabah,9,,,,,,
2020-03-19,Sarawak,2,,,,,,
2020-03-19,Selangor,42,,,,,,
2020-03-19,Terengganu,2,,,,,,
2020-03-19,Kuala Lumpur,6,,,,,,
2020-03-19,Labuan,0,,,,,,
2020-03-19,Putrajaya,0,,,,,,
2020-03-20,Johor,13,,,,,,
2020-03-20,Kedah,1,,,,,,
2020-03-20,Kelantan,8,,,,,,
2020-03-20,Melaka,2,,,,,,
2020-03-20,Negeri Sembilan,9,,,,,,
2020-03-20,Pahang,4,,,,,,
2020-03-20,Penang,5,,,,,,
2020-03-20,Perak,10,,,,,,
2020-03-20,Perlis,0,,,,,,
2020-03-20,Sabah,7,,,,,,
2020-03-20,Sarawak,7,,,,,,
2020-03-20,Selangor,38,,,,,,
2020-03-20,Terengganu,8,,,,,,
2020-03-20,Kuala Lumpur,18,,,,,,
2020-03-20,Labuan,0,,,,,,
2020-03-20,Putrajaya,0,,,,,,
2020-03-21,Johor,16,,,,,,
2020-03-21,Kedah,6,,,,,,
2020-03-21,Kelantan,10,,,,,,
2020-03-21,Melaka,0,,,,,,
2020-03-21,Negeri Sembilan,6,,,,,,
2020-03-21,Pahang,0,,,,,,
2020-03-21,Penang,13,,,,,,
2020-03-21,Perak,10,,,,,,
2020-03-21,Perlis,0,,,,,,
2020-03-21,Sabah,17,,,,,,
2020-03-21,Sarawak,10,,,,,,
2020-03-21,Selangor,27,,,,,,
2020-03-21,Terengganu,7,,,,,,
2020-03-21,Kuala Lumpur,29,,,,,,
2020-03-21,Labuan,0,,,,,,
2020-03-21,Putrajaya,2,,,,,,
2020-03-22,Johor,16,,,,,,
2020-03-22,Kedah,5,,,,,,
2020-03-22,Kelantan,2,,,,,,
2020-03-22,Melaka,1,,,,,,
2020-03-22,Negeri Sembilan,6,,,,,,
2020-03-22,Pahang,3,,,,,,
2020-03-22,Penang,8,,,,,,
2020-03-22,Perak,11,,,,,,
2020-03-22,Perlis,0,,,,,,
2020-03-22,Sabah,22,,,,,,
2020-03-22,Sarawak,8,,,,,,
2020-03-22,Selangor,16,,,,,,
2020-03-22,Terengganu,5,,,,,,
2020-03-22,Kuala Lumpur,18,,,,,,
2020-03-22,Labuan,0,,,,,,
2020-03-22,Putrajaya,2,,,,,,
2020-03-23,Johor,14,,,,,,
2020-03-23,Kedah,7,,,,,,
2020-03-23,Kelantan,8,,,,,,
2020-03-23,Melaka,2,,,,,,
2020-03-23,Negeri Sembilan,16,,,,,,
2020-03-23,Pahang,16,,,,,,
2020-03-23,Penang,8,,,,,,
2020-03-23,Perak,15,,,,,,
2020-03-23,Perlis,0,,,,,,
2020-03-23,Sabah,11,,,,,,
2020-03-23,Sarawak,2,,,,,,
2020-03-23,Selangor,46,,,,,,
2020-03-23,Terengganu,6,,,,,,
2020-03-23,Kuala Lumpur,59,,,,,,
2020-03-23,Labuan,0,,,,,,
2020-03-23,Putrajaya,2,,,,,,
2020-03-24,Johor,4,,,,,,
2020-03-24,Kedah,5,,,,,,
2020-03-24,Kelantan,7,,,,,,
2020-03-24,Melaka,6,,,,,,
2020-03-24,Negeri Sembilan,14,,,,,,
2020-03-24,Pahang,1,,,,,,
2020-03-24,Penang,2,,,,,,
2020-03-24,Perak,17,,,,,,
2020-03-24,Perlis,0,,,,,,
2020-03-24,Sabah,1,,,,,,
2020-03-24,Sarawak,5,,,,,,
2020-03-24,Selangor,27,,,,,,
2020-03-24,Terengganu,0,,,,,,
2020-03-24,Kuala Lumpur,15,,,,,,
2020-03-24,Labuan,0,,,,,,
2020-03-24,Putrajaya,2,,,,,,
2020-03-25,Johor,34,,,,,,
2020-03-25,Kedah,6,,,,,,
2020-03-25,Kelantan,6,,,,,,
2020-03-25,Melaka,2,,,,,,
2020-03-25,Negeri Sembilan,14,,,,,,
2020-03-25,Pahang,7,,,,,,
2020-03-25,Penang,1,,,,,,
2020-03-25,Perak,30,,,,,,
2020-03-25,Perlis,1,,,,,,
2020-03-25,Sabah,0,,,,,,
2020-03-25,Sarawak,2,,,,,,
2020-03-25,Selangor,53,,,,,,
2020-03-25,Terengganu,0,,,,,,
2020-03-25,Kuala Lumpur,15,,,,,,
2020-03-25,Labuan,0,,,,,,
2020-03-25,Putrajaya,1,,,,,,
2020-03-26,Johor,43,,,,,,
2020-03-26,Kedah,3,,,,,,
2020-03-26,Kelantan,10,,,,,,
2020-03-26,Melaka,0,,,,,,
2020-03-26,Negeri Sembilan,9,,,,,,
2020-03-26,Pahang,2,,,,,,
2020-03-26,Penang,4,,,,,,
2020-03-26,Perak,23,,,,,,
2020-03-26,Perlis,0,,,,,,
2020-03-26,Sabah,2,,,,,,
2020-03-26,Sarawak,10,,,,,,
2020-03-26,Selangor,77,,,,,,
2020-03-26,Terengganu,1,,,,,,
2020-03-26,Kuala Lumpur,49,,,,,,
2020-03-26,Labuan,0,,,,,,
2020-03-26,Putrajaya,2,,,,,,
2020-03-27,Johor,20,,,,,,
2020-03-27,Kedah,1,,,,,,
2020-03-27,Kelantan,4,,,,,,
2020-03-27,Melaka,0,,,,,,
2020-03-27,Negeri Sembilan,6,,,,,,
2020-03-27,Pahang,5,,,,,,
2020-03-27,Penang,6,,,,,,
2020-03-27,Perak,7,,,,,,
2020-03-27,Perlis,0,,,,,,
2020-03-27,Sabah,10,,,,,,
2020-03-27,Sarawak,15,,,,,,
2020-03-27,Selangor,36,,,,,,
2020-03-27,Terengganu,2,,,,,,
2020-03-27,Kuala Lumpur,16,,,,,,
2020-03-27,Labuan,0,,,,,,
2020-03-27,Putrajaya,2,,,,,,
2020-03-28,Johor,26,,,,,,
2020-03-28,Kedah,1,,,,,,
2020-03-28,Kelantan,10,,,,,,
2020-03-28,Melaka,9,,,,,,
2020-03-28,Negeri Sembilan,15,,,,,,
2020-03-28,Pahang,14,,,,,,
2020-03-28,Penang,6,,,,,,
2020-03-28,Perak,6,,,,,,
2020-03-28,Perlis,0,,,,,,
2020-03-28,Sabah,15,,,,,,
2020-03-28,Sarawak,8,,,,,,
2020-03-28,Selangor,34,,,,,,
2020-03-28,Terengganu,4,,,,,,
2020-03-28,Kuala Lumpur,6,,,,,,
2020-03-28,Labuan,5,,,,,,
2020-03-28,Putrajaya,0,,,,,,
2020-03-29,Johor,24,,,,,,
2020-03-29,Kedah,1,,,,,,
2020-03-29,Kelantan,15,,,,,,
2020-03-29,Melaka,1,,,,,,
2020-03-29,Negeri Sembilan,9,,,,,,
2020-03-29,Pahang,12,,,,,,
2020-03-29,Penang,1,,,,,,
2020-03-29,Perak,11,,,,,,
2020-03-29,Perlis,0,,,,,,
2020-03-29,Sabah,0,,,,,,
2020-03-29,Sarawak,11,,,,,,
2020-03-29,Selangor,33,,,,,,
2020-03-29,Terengganu,2,,,,,,
2020-03-29,Kuala Lumpur,28,,,,,,
2020-03-29,Labuan,0,,,,,,
2020-03-29,Putrajaya,2,,,,,,
2020-03-30,Johor,22,,,,,,
2020-03-30,Kedah,2,,,,,,
2020-03-30,Kelantan,4,,,,,,
2020-03-30,Melaka,7,,,,,,
2020-03-30,Negeri Sembilan,10,,,,,,
2020-03-30,Pahang,3,,,,,,
2020-03-30,Penang,1,,,,,,
2020-03-30,Perak,8,,,,,,
2020-03-30,Perlis,1,,,,,,
2020-03-30,Sabah,4,,,,,,
2020-03-30,Sarawak,6,,,,,,
2020-03-30,Selangor,59,,,,,,
2020-03-30,Terengganu,0,,,,,,
2020-03-30,Kuala Lumpur,26,,,,,,
2020-03-30,Labuan,0,,,,,,
2020-03-30,Putrajaya,3,,,,,,
2020-03-31,Johor,16,,,,,,
2020-03-31,Kedah,0,,,,,,
2020-03-31,Kelantan,4,,,,,,
2020-03-31,Melaka,2,,,,,,
2020-03-31,Negeri Sembilan,9,,,,,,
2020-03-31,Pahang,3,,,,,,
2020-03-31,Penang,6,,,,,,
2020-03-31,Perak,5,,,,,,
2020-03-31,Perlis,1,,,,,,
2020-03-31,Sabah,5,,,,,,
2020-03-31,Sarawak,21,,,,,,
2020-03-31,Selangor,32,,,,,,
2020-03-31,Terengganu,0,,,,,,
2020-03-31,Kuala Lumpur,34,,,,,,
2020-03-31,Labuan,0,,,,,,
2020-03-31,Putrajaya,2,,,,,,
2020-04-01,Johor,19,,,,,,
2020-04-01,Kedah,2,,,,,,
2020-04-01,Kelantan,3,,,,,,
2020-04-01,Melaka,11,,,,,,
2020-04-01,Negeri Sembilan,8,,,,,,
2020-04-01,Pahang,9,,,,,,
2020-04-01,Penang,2,,,,,,
2020-04-01,Perak,5,,,,,,
2020-04-01,Perlis,0,,,,,,
2020-04-01,Sabah,3,,,,,,
2020-04-01,Sarawak,32,,,,,,
2020-04-01,Selangor,22,,,,,,
2020-04-01,Terengganu,1,,,,,,
2020-04-01,Kuala Lumpur,25,,,,,,
2020-04-01,Labuan,0,,,,,,
2020-04-01,Putrajaya,0,,,,,,
2020-04-02,Johor,27,,,,,,
2020-04-02,Kedah,1,,,,,,
2020-04-02,Kelantan,3,,,,,,
2020-04-02,Melaka,7,,,,,,
2020-04-02,Negeri Sembilan,17,,,,,,
2020-04-02,Pahang,3,,,,,,
2020-04-02,Penang,2,,,,,,
2020-04-02,Perak,6,,,,,,
2020-04-02,Perlis,0,,,,,,
2020-04-02,Sabah,1,,,,,,
2020-04-02,Sarawak,23,,,,,,
2020-04-02,Selangor,70,,,,,,
2020-04-02,Terengganu,2,,,,,,
2020-04-02,Kuala Lumpur,39,,,,,,
2020-04-02,Labuan,0,,,,,,
2020-04-02,Putrajaya,7,,,,,,
2020-04-03,Johor,21,,,,,,
2020-04-03,Kedah,1,,,,,,
2020-04-03,Kelantan,0,,,,,,
2020-04-03,Melaka,3,,,,,,
2020-04-03,Negeri Sembilan,4,,,,,,
2020-04-03,Pahang,13,,,,,,
2020-04-03,Penang,0,,,,,,
2020-04-03,Perak,5,,,,,,
2020-04-03,Perlis,0,,,,,,
2020-04-03,Sabah,5,,,,,,
2020-04-03,Sarawak,28,,,,,,
2020-04-03,Selangor,63,,,,,,
2020-04-03,Terengganu,18,,,,,,
2020-04-03,Kuala Lumpur,55,,,,,,
2020-04-03,Labuan,0,,,,,,
2020-04-03,Putrajaya,1,,,,,,
2020-04-04,Johor,6,,,,,,
2020-04-04,Kedah,0,,,,,,
2020-04-04,Kelantan,2,,,,,,
2020-04-04,Melaka,2,,,,,,
2020-04-04,Negeri Sembilan,9,,,,,,
2020-04-04,Pahang,24,,,,,,
2020-04-04,Penang,1,,,,,,
2020-04-04,Perak,2,,,,,,
2020-04-04,Perlis,0,,,,,,
2020-04-04,Sabah,10,,,,,,
2020-04-04,Sarawak,7,,,,,,
2020-04-04,Selangor,29,,,,,,
2020-04-04,Terengganu,6,,,,,,
2020-04-04,Kuala Lumpur,50,,,,,,
2020-04-04,Labuan,1,,,,,,
2020-04-04,Putrajaya,1,,,,,,
2020-04-05,Johor,16,,,,,,
2020-04-05,Kedah,1,,,,,,
2020-04-05,Kelantan,2,,,,,,
2020-04-05,Melaka,14,,,,,,
2020-04-05,Negeri Sembilan,12,,,,,,
2020-04-05,Pahang,7,,,,,,
2020-04-05,Penang,2,,,,,,
2020-04-05,Perak,6,,,,,,
2020-04-05,Perlis,1,,,,,,
2020-04-05,Sabah,13,,,,,,
2020-04-05,Sarawak,15,,,,,,
2020-04-05,Selangor,50,,,,,,
2020-04-05,Terengganu,10,,,,,,
2020-04-05,Kuala Lumpur,29,,,,,,
2020-04-05,Labuan,0,,,,,,
2020-04-05,Putrajaya,1,,,,,,
2020-04-06,Johor,30,,,,,,
2020-04-06,Kedah,3,,,,,,
2020-04-06,Kelantan,1,,,,,,
2020-04-06,Melaka,10,,,,,,
2020-04-06,Negeri Sembilan,8,,,,,,
2020-04-06,Pahang,3,,,,,,
2020-04-06,Penang,0,,,,,,
2020-04-06,Perak,6,,,,,,
2020-04-06,Perlis,0,,,,,,
2020-04-06,Sabah,2,,,,,,
2020-04-06,Sarawak,12,,,,,,
2020-04-06,Selangor,27,,,,,,
2020-04-06,Terengganu,6,,,,,,
2020-04-06,Kuala Lumpur,18,,,,,,
2020-04-06,Labuan,1,,,,,,
2020-04-06,Putrajaya,4,,,,,,
2020-04-07,Johor,10,,,,,,
2020-04-07,Kedah,5,,,,,,
2020-04-07,Kelantan,5,,,,,,
2020-04-07,Melaka,4,,,,,,
2020-04-07,Negeri Sembilan,22,,,,,,
2020-04-07,Pahang,5,,,,,,
2020-04-07,Penang,1,,,,,,
2020-04-07,Perak,14,,,,,,
2020-04-07,Perlis,4,,,,,,
2020-04-07,Sabah,1,,,,,,
2020-04-07,Sarawak,15,,,,,,
2020-04-07,Selangor,50,,,,,,
2020-04-07,Terengganu,0,,,,,,
2020-04-07,Kuala Lumpur,31,,,,,,
2020-04-07,Labuan,1,,,,,,
2020-04-07,Putrajaya,2,,,,,,
2020-04-08,Johor,18,,,,,,
2020-04-08,Kedah,1,,,,,,
2020-04-08,Kelantan,0,,,,,,
2020-04-08,Melaka,13,,,,,,
2020-04-08,Negeri Sembilan,9,,,,,,
2020-04-08,Pahang,3,,,,,,
2020-04-08,Penang,6,,,,,,
2020-04-08,Perak,4,,,,,,
2020-04-08,Perlis,0,,,,,,
2020-04-08,Sabah,7,,,,,,
2020-04-08,Sarawak,18,,,,,,
2020-04-08,Selangor,58,,,,,,
2020-04-08,Terengganu,3,,,,,,
2020-04-08,Kuala Lumpur,14,,,,,,
2020-04-08,Labuan,0,,,,,,
2020-04-08,Putrajaya,2,,,,,,
2020-04-09,Johor,7,,,,,,
2020-04-09,Kedah,2,,,,,,
2020-04-09,Kelantan,1,,,,,,
2020-04-09,Melaka,3,,,,,,
2020-04-09,Negeri Sembilan,11,,,,,,
2020-04-09,Pahang,14,,,,,,
2020-04-09,Penang,0,,,,,,
2020-04-09,Perak,4,,,,,,
2020-04-09,Perlis,0,,,,,,
2020-04-09,Sabah,0,,,,,,
2020-04-09,Sarawak,6,,,,,,
2020-04-09,Selangor,39,,,,,,
2020-04-09,Terengganu,5,,,,,,
2020-04-09,Kuala Lumpur,15,,,,,,
2020-04-09,Labuan,0,,,,,,
2020-04-09,Putrajaya,2,,,,,,
2020-04-10,Johor,19,,,,,,
2020-04-10,Kedah,0,,,,,,
2020-04-10,Kelantan,1,,,,,,
2020-04-10,Melaka,14,,,,,,
2020-04-10,Negeri Sembilan,11,,,,,,
2020-04-10,Pahang,4,,,,,,
2020-04-10,Penang,1,,,,,,
2020-04-10,Perak,1,,,,,,
2020-04-10,Perlis,0,,,,,,
2020-04-10,Sabah,2,,,,,,
2020-04-10,Sarawak,15,,,,,,
2020-04-10,Selangor,31,,,,,,
2020-04-10,Terengganu,3,,,,,,
2020-04-10,Kuala Lumpur,14,,,,,,
2020-04-10,Labuan,0,,,,,,
2020-04-10,Putrajaya,2,,,,,,
2020-04-11,Johor,21,,,,,,
2020-04-11,Kedah,0,,,,,,
2020-04-11,Kelantan,2,,,,,,
2020-04-11,Melaka,8,,,,,,
2020-04-11,Negeri Sembilan,17,,,,,,
2020-04-11,Pahang,27,,,,,,
2020-04-11,Penang,5,,,,,,
2020-04-11,Perak,1,,,,,,
2020-04-11,Perlis,0,,,,,,
2020-04-11,Sabah,10,,,,,,
2020-04-11,Sarawak,7,,,,,,
2020-04-11,Selangor,35,,,,,,
2020-04-11,Terengganu,1,,,,,,
2020-04-11,Kuala Lumpur,46,,,,,,
2020-04-11,Labuan,2,,,,,,
2020-04-11,Putrajaya,2,,,,,,
2020-04-12,Johor,14,,,,,,
2020-04-12,Kedah,0,,,,,,
2020-04-12,Kelantan,1,,,,,,
2020-04-12,Melaka,3,,,,,,
2020-04-12,Negeri Sembilan,9,,,,,,
2020-04-12,Pahang,11,,,,,,
2020-04-12,Penang,2,,,,,,
2020-04-12,Perak,1,,,,,,
2020-04-12,Perlis,0,,,,,,
2020-04-12,Sabah,6,,,,,,
2020-04-12,Sarawak,8,,,,,,
2020-04-12,Selangor,53,,,,,,
2020-04-12,Terengganu,0,,,,,,
2020-04-12,Kuala Lumpur,44,,,,,,
2020-04-12,Labuan,0,,,,,,
2020-04-12,Putrajaya,1,,,,,,
2020-04-13,Johor,20,,,,,,
2020-04-13,Kedah,0,,,,,,
2020-04-13,Kelantan,2,,,,,,
2020-04-13,Melaka,0,,,,,,
2020-04-13,Negeri Sembilan,42,,,,,,
2020-04-13,Pahang,0,,,,,,
2020-04-13,Penang,0,,,,,,
2020-04-13,Perak,3,,,,,,
2020-04-13,Perlis,0,,,,,,
2020-04-13,Sabah,14,,,,,,
2020-04-13,Sarawak,6,,,,,,
2020-04-13,Selangor,13,,,,,,
2020-04-13,Terengganu,4,,,,,,
2020-04-13,Kuala Lumpur,28,,,,,,
2020-04-13,Labuan,0,,,,,,
2020-04-13,Putrajaya,2,,,,,,
2020-04-14,Johor,8,,,,,,
2020-04-14,Kedah,0,,,,,,
2020-04-14,Kelantan,0,,,,,,
2020-04-14,Melaka,3,,,,,,
2020-04-14,Negeri Sembilan,2,,,,,,
2020-04-14,Pahang,11,,,,,,
2020-04-14,Penang,3,,,,,,
2020-04-14,Perak,3,,,,,,
2020-04-14,Perlis,0,,,,,,
2020-04-14,Sabah,5,,,,,,
2020-04-14,Sarawak,15,,,,,,
2020-04-14,Selangor,52,,,,,,
2020-04-14,Terengganu,0,,,,,,
2020-04-14,Kuala Lumpur,68,,,,,,
2020-04-14,Labuan,0,,,,,,
2020-04-14,Putrajaya,0,,,,,,
2020-04-15,Johor,14,,,,,,
2020-04-15,Kedah,1,,,,,,
2020-04-15,Kelantan,0,,,,,,
2020-04-15,Melaka,0,,,,,,
2020-04-15,Negeri Sembilan,1,,,,,,
2020-04-15,Pahang,17,,,,,,
2020-04-15,Penang,0,,,,,,
2020-04-15,Perak,0,,,,,,
2020-04-15,Perlis,0,,,,,,
2020-04-15,Sabah,0,,,,,,
2020-04-15,Sarawak,8,,,,,,
2020-04-15,Selangor,18,,,,,,
2020-04-15,Terengganu,0,,,,,,
2020-04-15,Kuala Lumpur,26,,,,,,
2020-04-15,Labuan,0,,,,,,
2020-04-15,Putrajaya,0,,,,,,
2020-04-16,Johor,13,,,,,,
2020-04-16,Kedah,0,,,,,,
2020-04-16,Kelantan,1,,,,,,
2020-04-16,Melaka,0,,,,,,
2020-04-16,Negeri Sembilan,26,,,,,,
2020-04-16,Pahang,8,,,,,,
2020-04-16,Penang,0,,,,,,
2020-04-16,Perak,1,,,,,,
2020-04-16,Perlis,0,,,,,,
2020-04-16,Sabah,3,,,,,,
2020-04-16,Sarawak,16,,,,,,
2020-04-16,Selangor,13,,,,,,
2020-04-16,Terengganu,2,,,,,,
2020-04-16,Kuala Lumpur,26,,,,,,
2020-04-16,Labuan,0,,,,,,
2020-04-16,Putrajaya,1,,,,,,
2020-04-17,Johor,9,,,,,,
2020-04-17,Kedah,0,,,,,,
2020-04-17,Kelantan,0,,,,,,
2020-04-17,Melaka,1,,,,,,
2020-04-17,Negeri Sembilan,13,,,,,,
2020-04-17,Pahang,1,,,,,,
2020-04-17,Penang,0,,,,,,
2020-04-17,Perak,1,,,,,,
2020-04-17,Perlis,0,,,,,,
2020-04-17,Sabah,5,,,,,,
2020-04-17,Sarawak,10,,,,,,
2020-04-17,Selangor,10,,,,,,
2020-04-17,Terengganu,0,,,,,,
